Catalog ID,PlateID,Well,MW (desalted),ClogP,HBD,TPSA,RotBonds,ID,SMILES
Z31371312,1224024-R-02,D06,298.336,2.572,1,56.510,6,,COc1ccc(OCC(O)Cn2cnc3ccccc32)cc1
Z373644808,1224024-R-02,D07,307.388,1.663,1,63.690,5,,COCC(C)NC(=O)c1ccc(N2CC(C)OC(C)C2)nc1
Z434525952,1224024-R-02,D08,291.349,0.745,3,86.360,5,,CC(=O)NCCNC(=O)Nc1cccnc1N1CCCC1
Z383820090,1224024-R-02,D09,251.282,0.517,1,69.720,4,,Cn1c(=O)ccn(CC(=O)NCC2CCC2)c1=O
Z382952470,1224024-R-02,D10,338.402,0.931,1,82.190,6,,CC(C)CN1CCOC(CNC(=O)Cn2ccc(=O)n(C)c2=O)C1
Z511168216,1224024-R-02,D11,266.339,2.236,2,70.400,4,,Cc1cc(NC(=O)NCCN2CCCCC2C)no1
Z89286178,1224024-R-02,E02,321.373,2.174,1,71.070,6,,Cc1nc2ccccc2n1CC(O)COc1ccc(CC#N)cc1
Z382892374,1224024-R-02,E03,279.335,1.535,1,69.720,3,,CC1CCCCC1NC(=O)Cn1ccc(=O)n(C)c1=O
Z392542562,1224024-R-02,E04,293.361,2.054,1,69.720,3,,CC1CCCC(NC(=O)Cn2ccc(=O)n(C)c2=O)C1C
Z296585752,1224024-R-02,E05,260.292,0.094,1,74.660,4,,CN1N=C(C(=O)NCCc2cccnc2)CCC1=O
Z383167688,1224024-R-02,E06,237.255,-0.042,1,69.720,4,,Cn1c(=O)ccn(CC(=O)NCC2CC2)c1=O
Z406642468,1224024-R-02,E07,293.361,0.187,1,63.690,6,,CCOC(C)C(=O)NCc1ccc(N2CCOCC2)nc1
Z415963396,1224024-R-02,E08,281.351,2.843,2,76.390,5,,Cc1cc(NC(=O)NCCOC2CCCCC2C)no1
Z486400846,1224024-R-02,E09,254.352,2.047,2,57.260,4,,O=C(NCCN1CCCCC1)Nc1nccs1
Z229582552,1224024-R-02,E10,289.254,0.907,1,54.460,4,,O=C(NCC(F)(F)F)c1cccnc1N1CCOCC1
Z511185654,1224024-R-02,E11,266.339,2.236,2,70.400,4,,Cc1cc(NC(=O)NCCN2CCCC(C)C2)no1
Z365702274,1224024-R-02,F02,295.400,1.542,1,62.300,5,,Cc1nc(CCNC(=O)C2CC(=O)N(C(C)C)C2)cs1
Z364103538,1224024-R-02,F03,318.292,1.501,1,58.640,5,,CC(NC(=O)Cn1cc(C(F)(F)F)ccc1=O)C1CCCO1
Z371278136,1224024-R-02,F04,306.317,0.790,1,93.120,6,,COCCOc1ccc(NC(=O)C2=NN(C)C(=O)CC2)cn1
Z94531110,1224024-R-02,F05,265.308,0.316,1,63.690,5,,COCCNC(=O)c1cccnc1N1CCOCC1
Z424240994,1224024-R-02,F06,323.454,1.434,1,54.460,6,,CSCCC(=O)NCc1ccc(N2CC(C)OC(C)C2)nc1
Z434220496,1224024-R-02,F07,262.351,2.861,2,57.260,4,,CC(C)CNC(=O)Nc1ccc(N2CCCC2)nc1
